,method,speaker,file_name,random_file_name,text
22,vits,19,S019F002P000W00014.wav,22_ori_vits_19_S019F002P000W00014.wav,张金哲教授确诊为
23,seedvc,15,S015F002P000W00457.wav,23_ori_seedvc_15_S015F002P000W00457.wav,转型后的整合营销集团
24,ours,19,S019F018P000W00018.wav,24_ori_ours_19_S019F018P000W00018.wav,而幸福
25,ours,18,S018F014P000W00151.wav,25_ori_ours_18_S018F014P000W00151.wav,创造
26,seedvc,01,S001F018P000W00039.wav,26_ori_seedvc_01_S001F018P000W00039.wav,从而从之其不善者改之
27,ours,19,S019F001P000W00002.wav,27_ori_ours_19_S019F001P000W00002.wav,来自北京理工大学
28,vits,06,S006F007P000W00029.wav,28_ori_vits_06_S006F007P000W00029.wav,所以我依然想担任
29,vits,15,S015F002P000W00827.wav,29_ori_vits_15_S015F002P000W00827.wav,因此
30,ori,06,S006F004P000W00070.wav,30_ori_ori_06_S006F004P000W00070.wav,它助我们在主动中
31,ori,16,S016F004P000W00191.wav,31_ori_ori_16_S016F004P000W00191.wav,经济动
32,ours,16,S016F003P000W00208.wav,32_ori_ours_16_S016F003P000W00208.wav,三
33,ours,23,S023F002P000W01066.wav,33_ori_ours_23_S023F002P000W01066.wav,财力增长
34,vits,20,S020F003P000W00203.wav,34_ori_vits_20_S020F003P000W00203.wav,是威力巨大的定时炸弹
35,seedvc,18,S018F011P000W00016.wav,35_ori_seedvc_18_S018F011P000W00016.wav,所以我们要保护环境
36,vits,16,S016F003P000W00208.wav,36_ori_vits_16_S016F003P000W00208.wav,三
37,vits,16,S016F002P000W00091.wav,37_ori_vits_16_S016F002P000W00091.wav,产品的质量
38,GlowTTSAndHiFI-GAN,01,S001F018P000W00039.wav,38_ori_GlowTTSAndHiFI-GAN_01_S001F018P000W00039.wav,从而从之其不善者改之
39,ours,23,S023F001P000W01528.wav,39_ori_ours_23_S023F001P000W01528.wav,产业
40,ours,23,S023F002P000W00602.wav,40_ori_ours_23_S023F002P000W00602.wav,猎户
41,GlowTTSAndHiFI-GAN,23,S023F001P000W01074.wav,41_ori_GlowTTSAndHiFI-GAN_23_S023F001P000W01074.wav,的大公司正在
42,ori,23,S023F001P000W01213.wav,42_ori_ori_23_S023F001P000W01213.wav,城投券
43,ori,18,S018F011P000W00016.wav,43_ori_ori_18_S018F011P000W00016.wav,所以我们要保护环境
44,vits,01,S001F011P000W00016.wav,44_ori_vits_01_S001F011P000W00016.wav,让我更新了观念
45,GlowTTSAndHiFI-GAN,23,S023F002P000W01066.wav,45_ori_GlowTTSAndHiFI-GAN_23_S023F002P000W01066.wav,财力增长
46,ori,19,S019F027P000W00001.wav,46_ori_ori_19_S019F027P000W00001.wav,我学会了
47,ori,16,S016F002P000W00081.wav,47_ori_ori_16_S016F002P000W00081.wav,但在特定的过程
48,vits,18,S018F011P000W00023.wav,48_ori_vits_18_S018F011P000W00023.wav,浪费水资源
49,seedvc,06,S006F003P000W00026.wav,49_ori_seedvc_06_S006F003P000W00026.wav,在原始时期
50,seedvc,20,S020F002P000W00062.wav,50_ori_seedvc_20_S020F002P000W00062.wav,地
51,GlowTTSAndHiFI-GAN,15,S015F002P000W00457.wav,51_ori_GlowTTSAndHiFI-GAN_15_S015F002P000W00457.wav,转型后的整合营销集团
52,ori,06,S006F007P000W00029.wav,52_ori_ori_06_S006F007P000W00029.wav,所以我依然想担任
53,vits,06,S006F003P000W00026.wav,53_ori_vits_06_S006F003P000W00026.wav,在原始时期
54,seedvc,23,S023F001P000W01074.wav,54_ori_seedvc_23_S023F001P000W01074.wav,的大公司正在
55,ours,20,S020F002P000W00015.wav,55_ori_ours_20_S020F002P000W00015.wav,当
56,vits,18,S018F014P000W00151.wav,56_ori_vits_18_S018F014P000W00151.wav,创造
57,seedvc,16,S016F004P000W00191.wav,57_ori_seedvc_16_S016F004P000W00191.wav,经济动
58,GlowTTSAndHiFI-GAN,15,S015F002P000W00827.wav,58_ori_GlowTTSAndHiFI-GAN_15_S015F002P000W00827.wav,因此
59,seedvc,16,S016F004P000W00038.wav,59_ori_seedvc_16_S016F004P000W00038.wav,消防机器人
60,GlowTTSAndHiFI-GAN,06,S006F004P000W00070.wav,60_ori_GlowTTSAndHiFI-GAN_06_S006F004P000W00070.wav,它助我们在主动中
61,seedvc,16,S016F002P000W00091.wav,61_ori_seedvc_16_S016F002P000W00091.wav,产品的质量
62,ori,20,S020F003P000W00184.wav,62_ori_ori_20_S020F003P000W00184.wav,病毒武器最基本的要求
63,ori,15,S015F002P000W00827.wav,63_ori_ori_15_S015F002P000W00827.wav,因此
64,ori,23,S023F002P000W01066.wav,64_ori_ori_23_S023F002P000W01066.wav,财力增长
65,seedvc,23,S023F002P000W00602.wav,65_ori_seedvc_23_S023F002P000W00602.wav,猎户
66,ours,01,S001F011P000W00016.wav,66_ori_ours_01_S001F011P000W00016.wav,让我更新了观念
67,GlowTTSAndHiFI-GAN,19,S019F027P000W00001.wav,67_ori_GlowTTSAndHiFI-GAN_19_S019F027P000W00001.wav,我学会了
68,seedvc,15,S015F002P000W00442.wav,68_ori_seedvc_15_S015F002P000W00442.wav,推广新媒体的版图
69,vits,16,S016F004P000W00038.wav,69_ori_vits_16_S016F004P000W00038.wav,消防机器人
70,ours,15,S015F002P000W00512.wav,70_ori_ours_15_S015F002P000W00512.wav,债券
71,vits,06,S006F009P000W00038.wav,71_ori_vits_06_S006F009P000W00038.wav,后也不知道
72,GlowTTSAndHiFI-GAN,01,S001F011P000W00016.wav,72_ori_GlowTTSAndHiFI-GAN_01_S001F011P000W00016.wav,让我更新了观念
73,ours,01,S001F002P000W00024.wav,73_ori_ours_01_S001F002P000W00024.wav,社会的需要
74,seedvc,23,S023F001P000W01213.wav,74_ori_seedvc_23_S023F001P000W01213.wav,城投券
75,seedvc,20,S020F002P000W00015.wav,75_ori_seedvc_20_S020F002P000W00015.wav,当
76,ori,19,S019F010P000W00002.wav,76_ori_ori_19_S019F010P000W00002.wav,专升本考试
77,vits,16,S016F002P000W00081.wav,77_ori_vits_16_S016F002P000W00081.wav,但在特定的过程
78,seedvc,18,S018F014P000W00151.wav,78_ori_seedvc_18_S018F014P000W00151.wav,创造
79,seedvc,20,S020F003P000W00184.wav,79_ori_seedvc_20_S020F003P000W00184.wav,病毒武器最基本的要求
80,ori,01,S001F011P000W00016.wav,80_ori_ori_01_S001F011P000W00016.wav,让我更新了观念
81,ours,23,S023F001P000W01074.wav,81_ori_ours_23_S023F001P000W01074.wav,的大公司正在
82,ours,06,S006F003P000W00026.wav,82_ori_ours_06_S006F003P000W00026.wav,在原始时期
83,GlowTTSAndHiFI-GAN,19,S019F001P000W00002.wav,83_ori_GlowTTSAndHiFI-GAN_19_S019F001P000W00002.wav,来自北京理工大学
84,GlowTTSAndHiFI-GAN,20,S020F003P000W00184.wav,84_ori_GlowTTSAndHiFI-GAN_20_S020F003P000W00184.wav,病毒武器最基本的要求
85,seedvc,06,S006F007P000W00029.wav,85_ori_seedvc_06_S006F007P000W00029.wav,所以我依然想担任
86,GlowTTSAndHiFI-GAN,01,S001F002P000W00024.wav,86_ori_GlowTTSAndHiFI-GAN_01_S001F002P000W00024.wav,社会的需要
87,ori,23,S023F001P000W01528.wav,87_ori_ori_23_S023F001P000W01528.wav,产业
88,GlowTTSAndHiFI-GAN,20,S020F003P000W00203.wav,88_ori_GlowTTSAndHiFI-GAN_20_S020F003P000W00203.wav,是威力巨大的定时炸弹
89,ours,18,S018F010P000W00194.wav,89_ori_ours_18_S018F010P000W00194.wav,社会才能发展进步
90,ori,18,S018F012P000W00233.wav,90_ori_ori_18_S018F012P000W00233.wav,十年树木
91,vits,18,S018F010P000W00194.wav,91_ori_vits_18_S018F010P000W00194.wav,社会才能发展进步
92,seedvc,18,S018F010P000W00194.wav,92_ori_seedvc_18_S018F010P000W00194.wav,社会才能发展进步
93,ori,20,S020F002P000W00015.wav,93_ori_ori_20_S020F002P000W00015.wav,当
94,ori,15,S015F002P000W00512.wav,94_ori_ori_15_S015F002P000W00512.wav,债券
95,GlowTTSAndHiFI-GAN,20,S020F002P000W00062.wav,95_ori_GlowTTSAndHiFI-GAN_20_S020F002P000W00062.wav,地
96,vits,23,S023F002P000W00602.wav,96_ori_vits_23_S023F002P000W00602.wav,猎户
97,ori,06,S006F003P000W00026.wav,97_ori_ori_06_S006F003P000W00026.wav,在原始时期
98,ori,19,S019F001P000W00002.wav,98_ori_ori_19_S019F001P000W00002.wav,来自北京理工大学
99,vits,01,S001F001P000W00037.wav,99_ori_vits_01_S001F001P000W00037.wav,愿我们都能以一颗感恩之心
100,ori,01,S001F018P000W00039.wav,100_ori_ori_01_S001F018P000W00039.wav,从而从之其不善者改之
101,ori,20,S020F004P000W00163.wav,101_ori_ori_20_S020F004P000W00163.wav,具有一定的风险性
102,vits,18,S018F012P000W00233.wav,102_ori_vits_18_S018F012P000W00233.wav,十年树木
103,vits,19,S019F018P000W00018.wav,103_ori_vits_19_S019F018P000W00018.wav,而幸福
104,seedvc,19,S019F027P000W00001.wav,104_ori_seedvc_19_S019F027P000W00001.wav,我学会了
105,vits,18,S018F011P000W00016.wav,105_ori_vits_18_S018F011P000W00016.wav,所以我们要保护环境
106,ori,15,S015F002P000W00442.wav,106_ori_ori_15_S015F002P000W00442.wav,推广新媒体的版图
107,ours,18,S018F012P000W00233.wav,107_ori_ours_18_S018F012P000W00233.wav,十年树木
108,seedvc,20,S020F004P000W00163.wav,108_ori_seedvc_20_S020F004P000W00163.wav,具有一定的风险性
109,vits,19,S019F010P000W00002.wav,109_ori_vits_19_S019F010P000W00002.wav,专升本考试
110,GlowTTSAndHiFI-GAN,06,S006F003P000W00026.wav,110_ori_GlowTTSAndHiFI-GAN_06_S006F003P000W00026.wav,在原始时期
111,ori,01,S001F001P000W00037.wav,111_ori_ori_01_S001F001P000W00037.wav,愿我们都能以一颗感恩之心
112,GlowTTSAndHiFI-GAN,23,S023F001P000W01213.wav,112_ori_GlowTTSAndHiFI-GAN_23_S023F001P000W01213.wav,城投券
113,vits,20,S020F002P000W00015.wav,113_ori_vits_20_S020F002P000W00015.wav,当
114,ours,20,S020F003P000W00203.wav,114_ori_ours_20_S020F003P000W00203.wav,是威力巨大的定时炸弹
115,vits,01,S001F017P000W00025.wav,115_ori_vits_01_S001F017P000W00025.wav,守则等也要学习法律常识
116,ours,18,S018F011P000W00016.wav,116_ori_ours_18_S018F011P000W00016.wav,所以我们要保护环境
117,ours,01,S001F018P000W00039.wav,117_ori_ours_01_S001F018P000W00039.wav,从而从之其不善者改之
118,GlowTTSAndHiFI-GAN,01,S001F017P000W00025.wav,118_ori_GlowTTSAndHiFI-GAN_01_S001F017P000W00025.wav,守则等也要学习法律常识
119,ori,19,S019F002P000W00014.wav,119_ori_ori_19_S019F002P000W00014.wav,张金哲教授确诊为
120,ours,01,S001F001P000W00037.wav,120_ori_ours_01_S001F001P000W00037.wav,愿我们都能以一颗感恩之心
121,seedvc,19,S019F002P000W00014.wav,121_ori_seedvc_19_S019F002P000W00014.wav,张金哲教授确诊为
122,vits,23,S023F002P000W01066.wav,122_ori_vits_23_S023F002P000W01066.wav,财力增长
123,vits,23,S023F001P000W01528.wav,123_ori_vits_23_S023F001P000W01528.wav,产业
124,ori,19,S019F018P000W00018.wav,124_ori_ori_19_S019F018P000W00018.wav,而幸福
125,ori,18,S018F011P000W00023.wav,125_ori_ori_18_S018F011P000W00023.wav,浪费水资源
126,GlowTTSAndHiFI-GAN,18,S018F011P000W00016.wav,126_ori_GlowTTSAndHiFI-GAN_18_S018F011P000W00016.wav,所以我们要保护环境
127,vits,19,S019F001P000W00002.wav,127_ori_vits_19_S019F001P000W00002.wav,来自北京理工大学
128,seedvc,01,S001F002P000W00024.wav,128_ori_seedvc_01_S001F002P000W00024.wav,社会的需要
129,ori,23,S023F002P000W00602.wav,129_ori_ori_23_S023F002P000W00602.wav,猎户
130,GlowTTSAndHiFI-GAN,06,S006F004P000W00008.wav,130_ori_GlowTTSAndHiFI-GAN_06_S006F004P000W00008.wav,她庄严
131,ours,06,S006F009P000W00038.wav,131_ori_ours_06_S006F009P000W00038.wav,后也不知道
132,seedvc,15,S015F002P000W00076.wav,132_ori_seedvc_15_S015F002P000W00076.wav,抑制楼市过快上涨
133,vits,20,S020F002P000W00062.wav,133_ori_vits_20_S020F002P000W00062.wav,地
134,ours,01,S001F017P000W00025.wav,134_ori_ours_01_S001F017P000W00025.wav,守则等也要学习法律常识
135,vits,16,S016F004P000W00191.wav,135_ori_vits_16_S016F004P000W00191.wav,经济动
136,ori,01,S001F017P000W00025.wav,136_ori_ori_01_S001F017P000W00025.wav,守则等也要学习法律常识
137,seedvc,19,S019F018P000W00018.wav,137_ori_seedvc_19_S019F018P000W00018.wav,而幸福
138,ours,15,S015F002P000W00457.wav,138_ori_ours_15_S015F002P000W00457.wav,转型后的整合营销集团
139,vits,15,S015F002P000W00457.wav,139_ori_vits_15_S015F002P000W00457.wav,转型后的整合营销集团
140,GlowTTSAndHiFI-GAN,18,S018F014P000W00151.wav,140_ori_GlowTTSAndHiFI-GAN_18_S018F014P000W00151.wav,创造
141,GlowTTSAndHiFI-GAN,16,S016F004P000W00191.wav,141_ori_GlowTTSAndHiFI-GAN_16_S016F004P000W00191.wav,经济动
142,GlowTTSAndHiFI-GAN,19,S019F018P000W00018.wav,142_ori_GlowTTSAndHiFI-GAN_19_S019F018P000W00018.wav,而幸福
143,ours,06,S006F004P000W00070.wav,143_ori_ours_06_S006F004P000W00070.wav,它助我们在主动中
144,seedvc,01,S001F001P000W00037.wav,144_ori_seedvc_01_S001F001P000W00037.wav,愿我们都能以一颗感恩之心
145,ori,20,S020F002P000W00062.wav,145_ori_ori_20_S020F002P000W00062.wav,地
146,ori,06,S006F009P000W00038.wav,146_ori_ori_06_S006F009P000W00038.wav,后也不知道
147,seedvc,20,S020F003P000W00203.wav,147_ori_seedvc_20_S020F003P000W00203.wav,是威力巨大的定时炸弹
148,seedvc,15,S015F002P000W00512.wav,148_ori_seedvc_15_S015F002P000W00512.wav,债券
149,seedvc,01,S001F017P000W00025.wav,149_ori_seedvc_01_S001F017P000W00025.wav,守则等也要学习法律常识
150,GlowTTSAndHiFI-GAN,16,S016F004P000W00038.wav,150_ori_GlowTTSAndHiFI-GAN_16_S016F004P000W00038.wav,消防机器人
151,GlowTTSAndHiFI-GAN,18,S018F010P000W00194.wav,151_ori_GlowTTSAndHiFI-GAN_18_S018F010P000W00194.wav,社会才能发展进步
152,seedvc,06,S006F004P000W00070.wav,152_ori_seedvc_06_S006F004P000W00070.wav,它助我们在主动中
153,ori,06,S006F004P000W00008.wav,153_ori_ori_06_S006F004P000W00008.wav,她庄严
154,ori,15,S015F002P000W00457.wav,154_ori_ori_15_S015F002P000W00457.wav,转型后的整合营销集团
155,ours,16,S016F002P000W00081.wav,155_ori_ours_16_S016F002P000W00081.wav,但在特定的过程
156,GlowTTSAndHiFI-GAN,15,S015F002P000W00512.wav,156_ori_GlowTTSAndHiFI-GAN_15_S015F002P000W00512.wav,债券
157,vits,15,S015F002P000W00512.wav,157_ori_vits_15_S015F002P000W00512.wav,债券
158,ori,16,S016F002P000W00091.wav,158_ori_ori_16_S016F002P000W00091.wav,产品的质量
159,ours,20,S020F004P000W00163.wav,159_ori_ours_20_S020F004P000W00163.wav,具有一定的风险性
160,GlowTTSAndHiFI-GAN,16,S016F003P000W00208.wav,160_ori_GlowTTSAndHiFI-GAN_16_S016F003P000W00208.wav,三
161,vits,15,S015F002P000W00076.wav,161_ori_vits_15_S015F002P000W00076.wav,抑制楼市过快上涨
162,GlowTTSAndHiFI-GAN,06,S006F009P000W00038.wav,162_ori_GlowTTSAndHiFI-GAN_06_S006F009P000W00038.wav,后也不知道
163,GlowTTSAndHiFI-GAN,18,S018F011P000W00023.wav,163_ori_GlowTTSAndHiFI-GAN_18_S018F011P000W00023.wav,浪费水资源
164,ours,18,S018F011P000W00023.wav,164_ori_ours_18_S018F011P000W00023.wav,浪费水资源
165,ours,15,S015F002P000W00076.wav,165_ori_ours_15_S015F002P000W00076.wav,抑制楼市过快上涨
166,seedvc,19,S019F001P000W00002.wav,166_ori_seedvc_19_S019F001P000W00002.wav,来自北京理工大学
167,ours,15,S015F002P000W00442.wav,167_ori_ours_15_S015F002P000W00442.wav,推广新媒体的版图
168,GlowTTSAndHiFI-GAN,23,S023F001P000W01528.wav,168_ori_GlowTTSAndHiFI-GAN_23_S023F001P000W01528.wav,产业
169,ours,16,S016F004P000W00191.wav,169_ori_ours_16_S016F004P000W00191.wav,经济动
170,ours,06,S006F004P000W00008.wav,170_ori_ours_06_S006F004P000W00008.wav,她庄严
171,seedvc,06,S006F004P000W00008.wav,171_ori_seedvc_06_S006F004P000W00008.wav,她庄严
172,ori,18,S018F010P000W00194.wav,172_ori_ori_18_S018F010P000W00194.wav,社会才能发展进步
173,ours,16,S016F002P000W00091.wav,173_ori_ours_16_S016F002P000W00091.wav,产品的质量
174,GlowTTSAndHiFI-GAN,01,S001F001P000W00037.wav,174_ori_GlowTTSAndHiFI-GAN_01_S001F001P000W00037.wav,愿我们都能以一颗感恩之心
175,GlowTTSAndHiFI-GAN,20,S020F004P000W00163.wav,175_ori_GlowTTSAndHiFI-GAN_20_S020F004P000W00163.wav,具有一定的风险性
176,vits,06,S006F004P000W00070.wav,176_ori_vits_06_S006F004P000W00070.wav,它助我们在主动中
177,ori,23,S023F001P000W01074.wav,177_ori_ori_23_S023F001P000W01074.wav,的大公司正在
178,vits,23,S023F001P000W01074.wav,178_ori_vits_23_S023F001P000W01074.wav,的大公司正在
179,GlowTTSAndHiFI-GAN,20,S020F002P000W00015.wav,179_ori_GlowTTSAndHiFI-GAN_20_S020F002P000W00015.wav,当
180,ori,01,S001F002P000W00024.wav,180_ori_ori_01_S001F002P000W00024.wav,社会的需要
181,ours,15,S015F002P000W00827.wav,181_ori_ours_15_S015F002P000W00827.wav,因此
182,vits,19,S019F027P000W00001.wav,182_ori_vits_19_S019F027P000W00001.wav,我学会了
183,vits,15,S015F002P000W00442.wav,183_ori_vits_15_S015F002P000W00442.wav,推广新媒体的版图
184,vits,20,S020F003P000W00184.wav,184_ori_vits_20_S020F003P000W00184.wav,病毒武器最基本的要求
185,seedvc,18,S018F011P000W00023.wav,185_ori_seedvc_18_S018F011P000W00023.wav,浪费水资源
186,seedvc,16,S016F002P000W00081.wav,186_ori_seedvc_16_S016F002P000W00081.wav,但在特定的过程
187,seedvc,23,S023F001P000W01528.wav,187_ori_seedvc_23_S023F001P000W01528.wav,产业
188,seedvc,06,S006F009P000W00038.wav,188_ori_seedvc_06_S006F009P000W00038.wav,后也不知道
189,ours,20,S020F002P000W00062.wav,189_ori_ours_20_S020F002P000W00062.wav,地
190,vits,01,S001F002P000W00024.wav,190_ori_vits_01_S001F002P000W00024.wav,社会的需要
191,GlowTTSAndHiFI-GAN,23,S023F002P000W00602.wav,191_ori_GlowTTSAndHiFI-GAN_23_S023F002P000W00602.wav,猎户
192,ori,18,S018F014P000W00151.wav,192_ori_ori_18_S018F014P000W00151.wav,创造
193,GlowTTSAndHiFI-GAN,19,S019F002P000W00014.wav,193_ori_GlowTTSAndHiFI-GAN_19_S019F002P000W00014.wav,张金哲教授确诊为
194,ours,20,S020F003P000W00184.wav,194_ori_ours_20_S020F003P000W00184.wav,病毒武器最基本的要求
195,seedvc,19,S019F010P000W00002.wav,195_ori_seedvc_19_S019F010P000W00002.wav,专升本考试
196,ori,15,S015F002P000W00076.wav,196_ori_ori_15_S015F002P000W00076.wav,抑制楼市过快上涨
197,seedvc,15,S015F002P000W00827.wav,197_ori_seedvc_15_S015F002P000W00827.wav,因此
198,GlowTTSAndHiFI-GAN,16,S016F002P000W00081.wav,198_ori_GlowTTSAndHiFI-GAN_16_S016F002P000W00081.wav,但在特定的过程
199,seedvc,18,S018F012P000W00233.wav,199_ori_seedvc_18_S018F012P000W00233.wav,十年树木
